string, size, x, y, direction, score, supplement, total
qua,3,2,1,right,23,0,23
qi,2,13,4,down,11,0,11
qi,2,5,6,right,11,0,11
uh,2,13,5,down,10,0,10
uh,2,7,13,right,5,4,9
du,2,6,13,down,4,5,9
oh,2,13,5,down,8,0,8
nu,2,6,12,down,4,4,8
du,2,7,11,right,4,4,8
oh,2,7,13,right,4,3,7
do,2,6,13,down,3,4,7
un,2,2,13,down,6,0,6
no,2,6,12,down,3,3,6
do,2,7,11,right,3,3,6
up,2,3,2,right,6,0,6
ho,2,9,4,right,6,0,6
out,3,4,1,right,6,0,6
neo,3,10,0,right,5,0,5
to,2,0,4,down,2,3,5
uh,2,13,6,down,5,0,5
do,2,1,3,right,3,2,5
oh,2,13,6,down,4,0,4
go,2,6,9,down,4,0,4
on,2,2,13,down,4,0,4
nu,2,3,13,down,4,0,4
us,2,11,13,right,3,0,3
to,2,12,12,down,3,0,3
no,2,3,13,down,3,0,3
to,2,0,14,down,2,0,2
to,2,4,3,right,2,0,2
